Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Abellaite,Abellaite,NaPb^2+^_2_(CO_3_)_2_(OH),Na Pb C O H,,Not in a structural group,hexagonal,P31c|P6_3mc,370.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",12,Carbonates with other anions
Abelsonite,Abelsonite,Ni^2+^C_31_H_32_N_4_,Ni C H N,R070007,Not in a structural group,triclinic,P-1,56.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals",32,"Hydrocarbons, Resins and other Organic Compounds"
Abenakiite-(Ce),Abenakiite-(Ce),Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na Ce Si O P C S,,Not in a structural group,hexagonal,R-3,124.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",25,Sulphates
Abernathyite,Abernathyite,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K U O As H,,Natroautunite,tetragonal,P4/nmm|P4/ncc,358.9,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",23,Arsenites
Abhurite,Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn O H Cl,R060227,Not in a structural group,hexagonal,R32,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes",7,Oxides and Hydroxides
Abramovite,Abramovite,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb Sn In Bi S,R070037,Not in a structural group,triclinic,P1,0.04,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals",6,"Sulphosalts - Sulphostannates, Sulphogermanates, Sulpharsenates, Sulphantimonates, Sulphovanadates and Sulphohalides"
Abswurmbachite,Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu Mn O Si,,Braunite,tetragonal,I4_1/acd,541.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Abuite,Abuite,CaAl_2_(PO_4_)_2_F_2_,Ca Al P O F,,Not in a structural group,orthorhombic,P2_12_12_1,,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",0,Unclassified
Acanthite,Acanthite,Ag^1+^_2_S^2-^,Ag S,R070578 R080016,Acanthite,monoclinic,P2_1/n,4000.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Acetamide,Acetamide,CH_3_CONH_2_,C H O N,,Not in a structural group,hexagonal,R3c,0.0,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",0,Unclassified
Achalaite,Achalaite,Fe^2+^Ti^4+^Nb^5+^_2_O_8_,Fe Ti Nb O,,Columbite,monoclinic,C2/c,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",18,Niobates and Tantalates
Achávalite,Achavalite,FeSe,Fe Se,,Nickeline,hexagonal,P6_3mc|P6_3/mmc,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Achyrophanite,Achyrophanite,"(K,Na)_3_(Fe^3+^,Ti,Al,Mg)_5_O_2_(As^5+^O_4_)_5_",K Na Fe Ti Al Mg O As,,Not in a structural group,orthorhombic,P222_1,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",0,Unclassified
Acmonidesite,Acmonidesite,"(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_",N H K Pb Na Fe S O Cl,,Not in a structural group,orthorhombic,C222_1,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Actinolite,Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe Si O H,R040063 R040064 R050025 R050336 R060045 R060041 R120010,Amphibole,monoclinic,C2/m,4000.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM40 - Regional metamorphism",17,Silicates Containing other Anions
Acuminite,Acuminite,SrAlF_4_(OH)·H_2_O,Sr Al F O H,,Tikhonenkovite,monoclinic,C2/c,1275.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",7,Oxides and Hydroxides
Adachiite,Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),Ca Fe Al Si O B H,R230014,Tourmaline,hexagonal|unknown,R3m,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Adamite,Adamite,Zn^2+^_2_As^5+^O_4_(OH),Zn As O H,R040130 R050020 R060593,Andalusite,orthorhombic,Pnnm,2700.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Adamsite-(Y),Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,Na Y C O H,R070360,Not in a structural group,triclinic,P1|P-1,1742.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",11,Carbonates
Adanite,Adanite,Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_),Pb Te O S,R190033, ,monoclinic,P2_1/n,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Addibischoffite,Addibischoffite,Ca_2_Al_6_Al_6_O_20_,Ca Al O,,Sapphirine,triclinic,P-1,,"Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates",7,Oxides and Hydroxides
Adelite,Adelite,CaMgAs^5+^O_4_(OH),Ca Mg As O H,R060687 R140962,Adelite,orthorhombic,P2_12_12_1,1890.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Admontite,Admontite,MgB_6_O_10_·7H_2_O,Mg B O H,,Not in a structural group,monoclinic,P2_1/c,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)",9,Borates
Adolfpateraite,Adolfpateraite,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),K U O S H,,Not in a structural group,monoclinic,P2_1/c,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",25,Sulphates
Adranosite,Adranosite,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_,N H Na Al S O Cl,,Adranosite,tetragonal,I4_1/acd,326.0,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",26,Sulphates with Halide
Adranosite-(Fe),Adranosite-(Fe),(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_,N H Na Fe S O Cl,,Adranosite,tetragonal,I4_1/acd,259.1,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",26,Sulphates with Halide
Adrianite,Adrianite,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca Al Mg Si O Cl,, ,cubic,I-43d,4567.61,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases",17,Silicates Containing other Anions
