# Wavenumber	Intensity
1.017652937000000009e+02	4.838096798837932511e+01
1.020617342000000036e+02	4.818020897254666579e+01
1.023581618999999989e+02	3.797944995187754103e+01
1.026545770000000033e+02	3.177869091671800561e+01
1.029509793000000002e+02	3.157793185361617816e+01
1.032473688000000038e+02	7.137717274594263017e+01
1.035437457000000023e+02	7.117641357391062229e+01
1.038401099000000016e+02	5.697565431059592811e+01
1.041364612999999935e+02	2.377489492195707044e+01
1.044328000000000003e+02	2.157413536825526990e+01
1.047291259999999937e+02	2.137337560737432796e+01
1.050254393000000022e+02	1.117261559504140678e+01
1.053217398999999972e+02	8.971855284846924405e+00
1.056180277999999930e+02	1.077109462926341621e+01
1.059143028999999956e+02	8.570333579866996843e+00
1.062105653999999930e+02	1.369572087157166607e+00
1.065068150999999972e+02	1.168810100776568106e+00
1.068030521000000022e+02	0.000000000000000000e+00
1.070992763999999937e+02	1.476728444490947822e+01
1.073954880000000003e+02	0.000000000000000000e+00
1.076916868999999934e+02	1.636575821678547982e+01
1.079878731000000016e+02	1.516499655799532320e+01
1.082840465999999964e+02	2.396423719229426297e+01
1.085802072999999979e+02	1.676348110993797036e+01
1.088763553999999942e+02	3.256272929878616651e+01
1.091724906999999973e+02	3.336198274502248751e+01
1.094686133999999953e+02	5.216124243157491946e+01
1.097647233000000000e+02	5.296050933803553562e+01
1.100608205000000055e+02	5.975978443878068447e+01
1.103569051000000059e+02	6.755906870289118160e+01
1.106529768999999987e+02	5.935836309347155293e+01
1.109490360000000067e+02	6.715766856687025665e+01
1.112450824000000011e+02	6.895698607350050224e+01
1.115411160999999964e+02	6.875631655706013134e+01
1.118371371000000067e+02	2.055566095435096940e+01
1.121331454000000036e+02	2.035502019529917561e+01
1.124291410000000013e+02	6.615439520777579219e+01
1.127251238999999998e+02	6.595378691761663958e+01
1.130210940999999991e+02	7.375319624404266960e+01
1.133170515999999992e+02	6.855262409967997428e+01
1.136129964000000001e+02	6.835207138977921204e+01
1.139089285000000018e+02	5.315153901273663450e+01
1.142048479000000043e+02	3.495102786011318585e+01
1.145007545999999934e+02	3.175053881815449586e+01
1.147966485999999975e+02	3.155007276961111984e+01
