File,Prediction,Confidence
Steno-CT-33_01_Y035_X052.txt,Class B,0.66
Steno-CT-33_01_Y041_X202.txt,Class B,0.98
Steno-CT-33_01_Y053_X187.txt,Class B,0.92
Steno-CT-33_01_Y000_X087.txt,Class B,0.99
Steno-CT-33_01_Y004_X270.txt,Class B,0.91
Steno-CT-33_01_Y033_X209.txt,Class B,0.91
Steno-CT-33_01_Y047_X059.txt,Class B,0.99
Steno-CT-33_01_Y023_X120.txt,Class B,0.88
Steno-CT-33_01_Y014_X159.txt,Class B,0.96
Steno-CT-33_01_Y029_X080.txt,Class B,0.94
Steno-CT-33_01_Y034_X046.txt,Class B,0.97
Steno-CT-33_01_Y040_X216.txt,Class B,0.83
Steno-CT-33_01_Y052_X193.txt,Class B,0.92
Steno-CT-33_01_Y001_X093.txt,Class B,0.99
Steno-CT-33_01_Y005_X264.txt,Class B,0.99
Steno-CT-33_01_Y022_X134.txt,Class B,0.93
Steno-CT-33_01_Y028_X094.txt,Class B,0.95
Steno-CT-33_01_Y020_X198.txt,Class B,1.0
Steno-CT-33_01_Y005_X270.txt,Class B,0.99
Steno-CT-33_01_Y046_X059.txt,Class B,1.0
Steno-CT-33_01_Y032_X209.txt,Class B,0.91
Steno-CT-33_01_Y022_X120.txt,Class B,0.99
Steno-CT-33_01_Y015_X159.txt,Class B,0.88
Steno-CT-33_01_Y028_X080.txt,Class B,0.91
Steno-CT-33_01_Y040_X202.txt,Class B,0.89
Steno-CT-33_01_Y034_X052.txt,Class B,0.97
Steno-CT-33_01_Y052_X187.txt,Class B,0.97
Steno-CT-33_01_Y001_X087.txt,Class B,0.98
Steno-CT-33_01_Y004_X264.txt,Class B,0.98
Steno-CT-33_01_Y023_X134.txt,Class B,0.97
Steno-CT-33_01_Y021_X198.txt,Class B,0.7
Steno-CT-33_01_Y029_X094.txt,Class B,0.98
Steno-CT-33_01_Y041_X216.txt,Class B,0.97
Steno-CT-33_01_Y035_X046.txt,Class B,0.89
Steno-CT-33_01_Y053_X193.txt,Class B,0.91
Steno-CT-33_01_Y000_X093.txt,Class B,0.95
Steno-CT-33_01_Y014_X165.txt,Class B,0.97
Steno-CT-33_01_Y033_X235.txt,Class B,0.93
Steno-CT-33_01_Y047_X065.txt,Class B,0.99
Steno-CT-33_01_Y051_X117.txt,Class B,0.96
Steno-CT-33_01_Y002_X017.txt,Class B,1.0
Steno-CT-33_01_Y015_X171.txt,Class B,0.94
Steno-CT-33_01_Y022_X108.txt,Class B,1.0
Steno-CT-33_01_Y032_X221.txt,Class B,0.96
Steno-CT-33_01_Y046_X071.txt,Class B,1.0
Steno-CT-33_01_Y005_X258.txt,Class B,0.98
Steno-CT-33_01_Y050_X103.txt,Class B,0.9
Steno-CT-33_01_Y003_X003.txt,Class B,1.0
Steno-CT-33_01_Y042_X286.txt,Class B,0.81
Steno-CT-33_01_Y050_X117.txt,Class B,0.99
Steno-CT-33_01_Y003_X017.txt,Class B,0.96
Steno-CT-33_01_Y015_X165.txt,Class B,0.81
Steno-CT-33_01_Y046_X065.txt,Class B,0.97
Steno-CT-33_01_Y032_X235.txt,Class B,0.96
Steno-CT-33_01_Y051_X103.txt,Class B,0.98
Steno-CT-33_01_Y002_X003.txt,Class B,0.94
Steno-CT-33_01_Y043_X286.txt,Class B,0.95
Steno-CT-33_01_Y014_X171.txt,Class B,0.91
Steno-CT-33_01_Y023_X108.txt,Class B,0.99
Steno-CT-33_01_Y047_X071.txt,Class B,0.88
Steno-CT-33_01_Y033_X221.txt,Class B,0.99
Steno-CT-33_01_Y004_X258.txt,Class B,0.95
Steno-CT-33_01_Y016_X136.txt,Class B,0.8
Steno-CT-33_01_Y045_X036.txt,Class B,0.97
Steno-CT-33_01_Y031_X266.txt,Class B,0.97
Steno-CT-33_01_Y029_X043.txt,Class B,0.97
Steno-CT-33_01_Y008_X148.txt,Class B,0.93
Steno-CT-33_01_Y018_X261.txt,Class B,0.94
Steno-CT-33_01_Y053_X144.txt,Class B,0.93
Steno-CT-33_01_Y000_X044.txt,Class B,1.0
Steno-CT-33_01_Y035_X091.txt,Class B,0.96
Steno-CT-33_01_Y028_X057.txt,Class B,0.91
Steno-CT-33_01_Y017_X122.txt,Class B,0.98
Steno-CT-33_01_Y044_X022.txt,Class B,0.99
Steno-CT-33_01_Y030_X272.txt,Class B,0.97
Steno-CT-33_01_Y052_X150.txt,Class B,0.93
Steno-CT-33_01_Y042_X279.txt,Class B,0.96
Steno-CT-33_01_Y036_X029.txt,Class B,0.98
Steno-CT-33_01_Y001_X050.txt,Class B,0.99
Steno-CT-33_01_Y019_X275.txt,Class B,0.93
Steno-CT-33_01_Y034_X085.txt,Class B,0.94
Steno-CT-33_01_Y052_X144.txt,Class B,0.93
Steno-CT-33_01_Y001_X044.txt,Class B,1.0
Steno-CT-33_01_Y009_X148.txt,Class B,0.97
Steno-CT-33_01_Y019_X261.txt,Class B,0.92
Steno-CT-33_01_Y034_X091.txt,Class B,1.0
Steno-CT-33_01_Y028_X043.txt,Class B,0.98
Steno-CT-33_01_Y017_X136.txt,Class B,0.98
Steno-CT-33_01_Y030_X266.txt,Class B,0.82
Steno-CT-33_01_Y044_X036.txt,Class B,0.95
Steno-CT-33_01_Y018_X275.txt,Class B,0.97
Steno-CT-33_01_Y053_X150.txt,Class B,0.74
Steno-CT-33_01_Y037_X029.txt,Class B,0.99
Steno-CT-33_01_Y043_X279.txt,Class B,0.9
Steno-CT-33_01_Y000_X050.txt,Class B,1.0
Steno-CT-33_01_Y035_X085.txt,Class B,0.78
Steno-CT-33_01_Y016_X122.txt,Class B,0.95
Steno-CT-33_01_Y031_X272.txt,Class B,0.96
Steno-CT-33_01_Y045_X022.txt,Class B,0.8
Steno-CT-33_01_Y029_X057.txt,Class B,0.95
Steno-CT-33_01_Y008_X174.txt,Class B,0.98
Steno-CT-33_01_Y000_X078.txt,Class B,0.98
Steno-CT-33_01_Y043_X251.txt,Class B,0.93
Steno-CT-33_01_Y037_X001.txt,Class B,0.96
Steno-CT-33_01_Y053_X178.txt,Class B,0.91
Steno-CT-33_01_Y006_X223.txt,Class B,0.93
Steno-CT-33_01_Y021_X173.txt,Class B,0.96
Steno-CT-33_01_Y042_X245.txt,Class B,0.99
Steno-CT-33_01_Y036_X015.txt,Class B,0.98
Steno-CT-33_01_Y019_X249.txt,Class B,0.9
Steno-CT-33_01_Y009_X160.txt,Class B,0.95
Steno-CT-33_01_Y007_X237.txt,Class B,0.93
Steno-CT-33_01_Y020_X167.txt,Class B,0.94
Steno-CT-33_01_Y007_X223.txt,Class B,0.96
Steno-CT-33_01_Y020_X173.txt,Class B,0.95
Steno-CT-33_01_Y001_X078.txt,Class B,0.88
Steno-CT-33_01_Y036_X001.txt,Class B,0.97
Steno-CT-33_01_Y042_X251.txt,Class B,0.96
Steno-CT-33_01_Y052_X178.txt,Class B,0.94
Steno-CT-33_01_Y009_X174.txt,Class B,0.88
Steno-CT-33_01_Y006_X237.txt,Class B,0.97
Steno-CT-33_01_Y021_X167.txt,Class B,0.82
Steno-CT-33_01_Y018_X249.txt,Class B,0.93
Steno-CT-33_01_Y008_X160.txt,Class B,0.99
Steno-CT-33_01_Y037_X015.txt,Class B,0.99
Steno-CT-33_01_Y043_X245.txt,Class B,0.98
Steno-CT-33_01_Y056_X166.txt,Class B,0.98
Steno-CT-33_01_Y005_X066.txt,Class B,0.97
Steno-CT-33_01_Y013_X114.txt,Class B,0.95
Steno-CT-33_01_Y040_X014.txt,Class B,0.94
Steno-CT-33_01_Y034_X244.txt,Class B,0.97
Steno-CT-33_01_Y048_X118.txt,Class B,0.97
Steno-CT-33_01_Y029_X282.txt,Class B,0.99
Steno-CT-33_01_Y004_X072.txt,Class B,0.91
Steno-CT-33_01_Y000_X285.txt,Class B,0.96
Steno-CT-33_01_Y012_X100.txt,Class B,0.76
Steno-CT-33_01_Y025_X179.txt,Class B,0.95
Steno-CT-33_01_Y041_X000.txt,Class B,0.86
Steno-CT-33_01_Y035_X250.txt,Class B,0.98
Steno-CT-33_01_Y002_X229.txt,Class B,0.94
Steno-CT-33_01_Y049_X118.txt,Class B,0.94
Steno-CT-33_01_Y012_X114.txt,Class B,0.88
Steno-CT-33_01_Y035_X244.txt,Class B,0.89
Steno-CT-33_01_Y041_X014.txt,Class B,0.96
Steno-CT-33_01_Y004_X066.txt,Class B,0.99
Steno-CT-33_01_Y001_X285.txt,Class B,0.98
Steno-CT-33_01_Y013_X100.txt,Class B,0.94
Steno-CT-33_01_Y024_X179.txt,Class B,1.0
Steno-CT-33_01_Y034_X250.txt,Class B,0.98
Steno-CT-33_01_Y040_X000.txt,Class B,0.93
Steno-CT-33_01_Y003_X229.txt,Class B,0.95
Steno-CT-33_01_Y028_X282.txt,Class B,0.99
Steno-CT-33_01_Y056_X172.txt,Class B,0.98
Steno-CT-33_01_Y005_X072.txt,Class B,0.91
Steno-CT-33_01_Y019_X088.txt,Class B,0.99
Steno-CT-33_01_Y011_X184.txt,Class B,0.91
Steno-CT-33_01_Y042_X084.txt,Class B,0.95
Steno-CT-33_01_Y003_X201.txt,Class B,0.92
Steno-CT-33_01_Y040_X028.txt,Class B,0.95
Steno-CT-33_01_Y034_X278.txt,Class B,0.8
Steno-CT-33_01_Y024_X151.txt,Class B,0.99
Steno-CT-33_01_Y013_X128.txt,Class B,0.96
Steno-CT-33_01_Y048_X124.txt,Class A,0.51
Steno-CT-33_01_Y038_X183.txt,Class B,0.93
Steno-CT-33_01_Y046_X273.txt,Class B,0.96
Steno-CT-33_01_Y032_X023.txt,Class B,0.98
Steno-CT-33_01_Y010_X190.txt,Class B,0.89
Steno-CT-33_01_Y043_X090.txt,Class B,0.86
Steno-CT-33_01_Y049_X130.txt,Class B,0.98
Steno-CT-33_01_Y002_X215.txt,Class B,0.94
Steno-CT-33_01_Y025_X145.txt,Class B,0.94
Steno-CT-33_01_Y039_X197.txt,Class B,0.97
Steno-CT-33_01_Y047_X267.txt,Class B,0.89
Steno-CT-33_01_Y033_X037.txt,Class B,0.96
Steno-CT-33_01_Y039_X183.txt,Class B,0.93
Steno-CT-33_01_Y033_X023.txt,Class B,0.9
Steno-CT-33_01_Y047_X273.txt,Class B,0.92
Steno-CT-33_01_Y010_X184.txt,Class B,0.97
Steno-CT-33_01_Y043_X084.txt,Class B,0.94
Steno-CT-33_01_Y018_X088.txt,Class B,0.93
Steno-CT-33_01_Y049_X124.txt,Class B,0.78
Steno-CT-33_01_Y002_X201.txt,Class B,0.96
Steno-CT-33_01_Y035_X278.txt,Class B,0.95
Steno-CT-33_01_Y041_X028.txt,Class B,0.98
Steno-CT-33_01_Y025_X151.txt,Class B,0.97
Steno-CT-33_01_Y012_X128.txt,Class B,0.99
Steno-CT-33_01_Y038_X197.txt,Class B,0.9
Steno-CT-33_01_Y032_X037.txt,Class B,0.96
Steno-CT-33_01_Y046_X267.txt,Class B,0.97
Steno-CT-33_01_Y011_X190.txt,Class B,0.93
Steno-CT-33_01_Y042_X090.txt,Class B,0.98
Steno-CT-33_01_Y003_X215.txt,Class B,0.95
Steno-CT-33_01_Y024_X145.txt,Class B,0.96
Steno-CT-33_01_Y048_X130.txt,Class B,1.0
Steno-CT-33_01_Y019_X077.txt,Class B,0.92
Steno-CT-33_01_Y001_X252.txt,Class B,0.97
Steno-CT-33_01_Y026_X102.txt,Class B,0.96
Steno-CT-33_01_Y007_X009.txt,Class B,0.95
Steno-CT-33_01_Y030_X070.txt,Class B,0.97
Steno-CT-33_01_Y044_X220.txt,Class B,0.94
Steno-CT-33_01_Y054_X109.txt,Class B,0.97
Steno-CT-33_01_Y028_X255.txt,Class B,1.0
Steno-CT-33_01_Y000_X246.txt,Class B,0.99
Steno-CT-33_01_Y027_X116.txt,Class B,0.77
Steno-CT-33_01_Y018_X063.txt,Class B,0.98
Steno-CT-33_01_Y029_X241.txt,Class B,0.94
Steno-CT-33_01_Y039_X168.txt,Class B,0.95
Steno-CT-33_01_Y031_X064.txt,Class B,0.92
Steno-CT-33_01_Y045_X234.txt,Class B,0.91
Steno-CT-33_01_Y029_X255.txt,Class B,0.98
Steno-CT-33_01_Y006_X009.txt,Class B,0.9
Steno-CT-33_01_Y045_X220.txt,Class B,0.9
Steno-CT-33_01_Y031_X070.txt,Class B,0.98
Steno-CT-33_01_Y055_X109.txt,Class B,1.0
Steno-CT-33_01_Y000_X252.txt,Class B,0.97
Steno-CT-33_01_Y027_X102.txt,Class B,0.94
Steno-CT-33_01_Y018_X077.txt,Class B,1.0
Steno-CT-33_01_Y044_X234.txt,Class B,0.98
Steno-CT-33_01_Y030_X064.txt,Class B,0.93
Steno-CT-33_01_Y028_X241.txt,Class B,0.95
Steno-CT-33_01_Y038_X168.txt,Class B,0.99
Steno-CT-33_01_Y019_X063.txt,Class B,0.88
Steno-CT-33_01_Y001_X246.txt,Class B,0.96
Steno-CT-33_01_Y026_X116.txt,Class B,0.95
Steno-CT-33_01_Y005_X099.txt,Class B,0.89
