# e11,e22,e33,e12,e13,e23
-8.021779557605532643e-03,-6.502064723445009735e-03,1.422646568660227047e-02,5.958823372315311638e-03,5.958823371641584939e-03,5.958828500824706574e-03
1.301720347507933154e-03,1.154592396428247509e-03,-7.057481892348305705e-04,-2.393776080056142942e-03,-2.393776080056156819e-03,-2.393776080056174600e-03
1.280209547112065756e-03,1.208364084165108659e-03,1.011878728667504716e-03,-8.334050876022039813e-04,-8.334050876021959582e-04,-8.334050876022097275e-04
5.201604059747141559e-03,4.753789568099568708e-03,-5.221975479997456940e-03,-5.792408163310700658e-03,-5.792408163310763976e-03,-5.792408163310416164e-03
-8.424937404659762260e-04,-7.373434229818487699e-04,5.353350022800492172e-03,2.234262929479966398e-03,2.234262929480445616e-03,2.234262929479985914e-03
-1.653014524228459429e-03,-1.378765526314427049e-03,7.043356788939493345e-03,1.164636070064733916e-04,1.164636070064807642e-04,1.164636070064780672e-04
4.017426582782369394e-03,3.544737006408801936e-03,-1.732657419541422730e-03,-3.343454206082584201e-03,-3.343454206082709535e-03,-3.343454206082533461e-03
-1.570761612107233714e-04,3.480562834175106139e-04,5.510555264781768874e-03,3.863841564356926446e-03,3.863841564356972416e-03,3.863841564357192726e-03
-3.624167034187904431e-03,-3.000481276526624670e-03,1.236511224196849661e-02,4.255331947508177171e-03,4.255331947508530187e-03,4.255331947508503299e-03
2.432882358409996486e-03,2.245641246876670626e-03,1.487386584793466303e-03,-2.677263416288398323e-04,-2.677263416288045415e-04,-2.677263416285551208e-04
3.560701347994086122e-03,3.464473174206001652e-03,5.156982318526354874e-04,6.672394786747246672e-04,6.672394786879062888e-04,6.672394786949036212e-04
-3.846922746121643434e-04,-2.256930378414865180e-04,6.482682617054479589e-03,5.823154004396429492e-04,5.823154004397052908e-04,5.823154004393771028e-04
2.651325172786157293e-04,7.879411606803680013e-04,6.139049148028498035e-03,2.638631723383000425e-03,2.638631723384229476e-03,2.638631723386231347e-03
1.263244769464509209e-03,1.352992891220805181e-03,4.462266264339512407e-03,1.349326952123138445e-03,1.349326967101305589e-03,1.349326947041500644e-03
-2.484645641632490798e-03,-2.068635524911894858e-03,1.023929232081513367e-02,3.147787613657232215e-03,3.148579558236801711e-03,3.148584885876593280e-03
-3.521772430441516902e-03,-2.661500293422067263e-03,1.181990284668649714e-02,3.818164604297880592e-03,3.818164595522767144e-03,3.818164595524644548e-03
2.905406342652790391e-03,2.790967360805975475e-03,1.319145106795999861e-03,2.422169516676525732e-04,2.422169516664868932e-04,2.422169516685736029e-04
4.136609579998703004e-03,3.805663874326362540e-03,-3.415903932026292163e-04,2.307002557564510146e-06,1.914432864936226401e-06,1.914391094739229717e-06
-5.560483469813918200e-04,-1.151800914211775724e-04,7.836014719322454553e-03,2.858905894865342110e-03,2.858905894865988728e-03,2.858905894864821693e-03
2.526169209333041336e-03,2.359230192280818358e-03,2.943406636463919302e-03,-9.360229966127546475e-05,-9.360229966109188222e-05,-9.360229965364583920e-05
