# Demo spectrum for 3D visualization
# Wavenumber (cm-1)	Intensity
100.00	0.133143
101.88	0.021795
103.75	0.061860
105.63	0.425927
107.51	0.062291
109.39	0.054052
111.26	0.019151
113.14	0.010199
115.02	0.033634
116.90	0.158408
118.77	0.227304
120.65	0.044303
122.53	0.052416
124.41	0.162087
126.28	0.212738
128.16	0.151106
130.04	0.052725
131.91	0.119057
133.79	0.473965
135.67	0.163855
137.55	0.002881
139.42	0.034616
141.30	0.002400
143.18	0.065983
145.06	0.127288
146.93	0.094237
148.81	0.078667
150.69	0.363230
152.57	0.081223
154.44	0.149286
156.32	0.169105
158.20	0.118335
160.08	0.090657
161.95	0.176345
163.83	0.119761
165.71	0.025665
167.58	0.038093
169.46	0.008536
171.34	0.016931
173.22	0.258858
175.09	0.165615
176.97	0.108653
178.85	0.416312
180.73	0.112497
182.60	0.011432
184.48	0.052970
186.36	0.023701
188.24	0.182719
190.11	0.098127
191.99	0.122086
193.87	0.014559
195.74	0.506414
197.62	0.175051
199.50	0.027252
201.38	0.193103
203.25	0.181276
205.13	0.010769
207.01	0.598767
208.89	0.179971
210.76	0.105301
212.64	0.023420
214.52	0.074509
216.40	0.191308
218.27	0.013219
220.15	0.017641
222.03	0.074830
223.90	0.005081
225.78	0.000639
227.66	0.048046
229.54	0.092755
231.41	0.085802
233.29	0.030990
235.17	0.175783
237.05	0.005684
238.92	0.656711
240.80	0.067627
242.68	0.071005
244.56	0.256257
246.43	0.042843
248.31	0.052293
250.19	0.090249
252.07	0.193442
253.94	0.158995
255.82	0.016522
257.70	0.022364
259.57	0.160193
261.45	0.084253
263.33	0.039952
265.21	0.029373
267.08	0.142162
268.96	0.100582
270.84	0.009074
272.72	0.063466
274.59	0.122012
276.47	0.158600
278.35	0.041969
280.23	0.051169
282.10	0.044341
283.98	0.034505
285.86	0.191776
287.73	0.047921
289.61	0.022545
291.49	0.002816
293.37	0.155462
295.24	0.066928
297.12	0.023838
299.00	0.146681
300.88	0.049563
302.75	0.065445
304.63	0.041458
306.51	0.244560
308.39	0.261947
310.26	0.049920
312.14	0.005355
314.02	0.024554
315.89	0.266859
317.77	0.593426
319.65	0.160359
321.53	1.660896
323.40	0.364405
325.28	0.608503
327.16	2.393453
329.04	0.047312
330.91	5.544253
332.79	0.192113
334.67	0.018704
336.55	0.050067
338.42	0.017099
340.30	0.009834
342.18	0.005962
344.06	0.203788
345.93	0.063728
347.81	0.017462
349.69	0.515607
351.56	0.051961
353.44	0.019782
355.32	0.009347
357.20	0.269595
359.07	0.046167
360.95	0.017194
362.83	0.109422
364.71	0.349893
366.58	0.031643
368.46	0.090536
370.34	0.028366
372.22	0.073379
374.09	0.064605
375.97	0.085295
377.85	0.166667
379.72	0.184930
381.60	0.012397
383.48	0.050226
385.36	0.112433
387.23	0.016199
389.11	0.194077
390.99	0.040094
392.87	0.046914
394.74	0.127312
396.62	0.058283
398.50	0.098496
400.38	0.080435
402.25	0.031756
404.13	0.053153
406.01	0.050936
407.88	0.235537
409.76	0.126067
411.64	0.048689
413.52	0.037634
415.39	0.030288
417.27	0.027782
419.15	0.039121
421.03	0.155308
422.90	0.148773
424.78	0.210248
426.66	0.051532
428.54	0.200456
430.41	0.265610
432.29	0.025779
434.17	0.001989
436.05	0.021428
437.92	0.072618
439.80	0.054645
441.68	0.018115
443.55	0.517542
445.43	0.036946
447.31	0.012867
449.19	0.048259
451.06	0.152421
452.94	0.063360
454.82	0.758878
456.70	0.387808
458.57	0.299274
460.45	0.430797
462.33	1.230079
464.21	0.373522
466.08	0.716014
467.96	2.555437
469.84	0.695604
471.71	0.413770
473.59	0.067813
475.47	0.159644
477.35	0.127112
479.22	0.138573
481.10	0.132355
482.98	0.060119
484.86	0.056576
486.73	0.045336
488.61	0.000587
490.49	0.087193
492.37	0.043023
494.24	0.068325
496.12	0.100639
498.00	0.044661
499.87	0.122874
501.75	0.010686
503.63	0.037818
505.51	0.131088
507.38	0.612718
509.26	0.354403
511.14	1.472275
513.02	1.741198
514.89	3.513704
516.77	3.961899
518.65	0.180859
520.53	1.031621
522.40	1.438942
524.28	0.000720
526.16	0.034145
528.04	0.011630
529.91	0.012131
531.79	0.158986
533.67	0.102187
535.54	0.021921
537.42	0.131329
539.30	0.065593
541.18	0.141161
543.05	0.130733
544.93	0.089260
546.81	0.074278
548.69	0.040845
550.56	0.007203
552.44	0.041758
554.32	0.047703
556.20	0.013461
558.07	0.045428
559.95	0.025123
561.83	0.076924
563.70	0.019120
565.58	0.272460
567.46	0.149753
569.34	0.413920
