# Synthetic Calcite - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
200.00	0.00
203.30	0.00
206.61	2.66
209.91	0.00
213.21	0.00
216.52	4.04
219.82	1.26
223.12	4.91
226.43	0.00
229.73	6.38
233.03	5.71
236.34	8.59
239.64	13.01
242.94	11.95
246.25	13.95
249.55	18.97
252.85	22.81
256.16	24.74
259.46	25.16
262.76	30.82
266.07	32.70
269.37	37.88
272.67	39.62
275.98	37.22
279.28	42.51
282.58	39.52
285.89	41.21
289.19	36.39
292.49	35.71
295.80	30.89
299.10	32.31
302.40	27.68
305.71	23.21
309.01	22.78
312.31	18.52
315.62	11.04
318.92	16.03
322.22	5.88
325.53	5.84
328.83	5.72
332.13	1.28
335.44	6.53
338.74	1.24
342.04	0.00
345.35	0.00
348.65	0.26
351.95	0.00
355.26	0.00
358.56	0.02
361.86	0.00
365.17	1.87
368.47	0.54
371.77	0.65
375.08	1.17
378.38	3.28
381.68	3.00
384.98	0.00
388.29	5.33
391.59	1.45
394.89	3.85
398.20	2.76
401.50	0.00
404.80	0.00
408.11	0.00
411.41	0.00
414.71	1.04
418.02	3.89
421.32	0.00
424.62	0.69
427.93	2.62
431.23	0.00
434.53	1.80
437.84	0.00
441.14	0.00
444.44	1.80
447.75	3.81
451.05	0.00
454.35	0.00
457.66	0.00
460.96	1.90
464.26	0.00
467.57	0.68
470.87	0.00
474.17	0.00
477.48	0.10
480.78	1.11
484.08	0.00
487.39	0.81
490.69	2.95
493.99	0.00
497.30	0.00
500.60	0.00
503.90	2.63
507.21	0.30
510.51	3.12
513.81	0.00
517.12	0.09
520.42	0.98
523.72	0.00
527.03	2.48
530.33	0.76
533.63	1.72
536.94	0.00
540.24	1.23
543.54	0.00
546.85	0.65
550.15	0.86
553.45	0.00
556.76	1.20
560.06	0.32
563.36	0.04
566.67	0.33
569.97	0.00
573.27	0.00
576.58	4.63
579.88	0.09
583.18	0.00
586.49	0.00
589.79	0.26
593.09	0.00
596.40	0.00
599.70	0.24
603.00	0.00
606.31	0.00
609.61	0.29
612.91	1.60
616.22	0.99
619.52	0.00
622.82	0.00
626.13	0.00
629.43	0.00
632.73	0.00
636.04	0.00
639.34	0.00
642.64	0.00
645.95	0.38
649.25	0.00
652.55	0.77
655.86	3.64
659.16	3.33
662.46	0.89
665.77	2.42
669.07	2.63
672.37	8.87
675.68	15.15
678.98	18.42
682.28	22.85
685.59	32.77
688.89	39.23
692.19	46.75
695.50	58.95
698.80	68.47
702.10	77.95
705.41	85.20
708.71	88.44
712.01	89.45
715.32	89.28
718.62	81.48
721.92	78.06
725.23	65.83
728.53	62.25
731.83	49.13
735.14	39.30
738.44	29.30
741.74	23.25
745.05	12.98
748.35	12.68
751.65	9.79
754.95	6.78
758.26	2.89
761.56	3.43
764.86	0.00
768.17	0.39
771.47	0.20
774.77	2.39
778.08	2.87
781.38	0.21
784.68	0.00
787.99	0.65
791.29	1.15
794.59	0.00
797.90	1.08
801.20	0.00
804.50	2.02
807.81	1.33
811.11	0.00
814.41	0.00
817.72	0.63
821.02	1.61
824.32	0.00
827.63	0.00
830.93	4.18
834.23	2.63
837.54	2.51
840.84	5.76
844.14	0.00
847.45	4.07
850.75	0.22
854.05	2.81
857.36	1.26
860.66	0.00
863.96	1.59
867.27	0.00
870.57	0.00
873.87	0.00
877.18	0.00
880.48	0.15
883.78	0.00
887.09	1.13
890.39	0.33
893.69	1.05
897.00	0.51
900.30	0.00
903.60	0.00
906.91	0.00
910.21	0.00
913.51	0.00
916.82	0.00
920.12	0.00
923.42	0.35
926.73	0.00
930.03	0.26
933.33	0.00
936.64	0.00
939.94	0.00
943.24	0.19
946.55	0.03
949.85	2.04
953.15	0.00
956.46	0.00
959.76	0.00
963.06	0.90
966.37	0.00
969.67	0.00
972.97	0.00
976.28	0.00
979.58	1.53
