# Synthetic Organic - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
200.00	0.00
203.30	0.00
206.61	0.00
209.91	1.71
213.21	0.52
216.52	0.19
219.82	0.00
223.12	0.00
226.43	0.80
229.73	0.00
233.03	0.09
236.34	2.53
239.64	0.00
242.94	2.82
246.25	0.61
249.55	0.69
252.85	1.64
256.16	0.47
259.46	1.73
262.76	0.00
266.07	0.46
269.37	0.19
272.67	3.82
275.98	0.86
279.28	2.39
282.58	3.03
285.89	0.67
289.19	0.00
292.49	0.00
295.80	0.63
299.10	0.00
302.40	0.00
305.71	0.00
309.01	1.35
312.31	0.00
315.62	0.00
318.92	0.00
322.22	0.00
325.53	0.00
328.83	0.08
332.13	1.14
335.44	0.01
338.74	1.20
342.04	2.28
345.35	1.40
348.65	0.00
351.95	0.00
355.26	4.46
358.56	0.00
361.86	2.10
365.17	0.00
368.47	1.05
371.77	0.00
375.08	0.64
378.38	0.00
381.68	0.00
384.98	0.00
388.29	1.19
391.59	0.00
394.89	0.00
398.20	0.00
401.50	0.29
404.80	0.00
408.11	0.15
411.41	0.00
414.71	0.00
418.02	0.00
421.32	0.00
424.62	2.21
427.93	0.80
431.23	0.00
434.53	0.75
437.84	1.71
441.14	0.00
444.44	0.00
447.75	0.00
451.05	0.00
454.35	0.00
457.66	1.55
460.96	0.00
464.26	0.00
467.57	0.00
470.87	0.00
474.17	0.00
477.48	3.21
480.78	2.42
484.08	0.00
487.39	1.57
490.69	0.62
493.99	2.04
497.30	0.26
500.60	2.60
503.90	0.00
507.21	0.21
510.51	0.00
513.81	0.00
517.12	0.00
520.42	0.00
523.72	0.00
527.03	1.03
530.33	0.00
533.63	1.02
536.94	0.00
540.24	1.98
543.54	0.94
546.85	0.00
550.15	0.00
553.45	0.00
556.76	0.46
560.06	0.15
563.36	1.34
566.67	0.00
569.97	0.00
573.27	1.37
576.58	0.00
579.88	1.41
583.18	0.00
586.49	3.58
589.79	1.81
593.09	2.88
596.40	0.92
599.70	0.52
603.00	0.60
606.31	0.00
609.61	0.00
612.91	0.00
616.22	0.83
619.52	0.00
622.82	0.00
626.13	0.00
629.43	0.00
632.73	0.37
636.04	1.60
639.34	3.11
642.64	3.97
645.95	0.35
649.25	0.00
652.55	0.00
655.86	0.00
659.16	0.00
662.46	0.09
665.77	0.88
669.07	0.85
672.37	0.00
675.68	1.44
678.98	0.00
682.28	0.52
685.59	1.55
688.89	0.00
692.19	1.48
695.50	0.00
698.80	0.00
702.10	0.00
705.41	0.00
708.71	0.00
712.01	0.00
715.32	0.00
718.62	0.00
721.92	0.00
725.23	0.43
728.53	0.00
731.83	0.40
735.14	0.00
738.44	0.00
741.74	1.51
745.05	0.00
748.35	0.10
751.65	0.00
754.95	0.00
758.26	0.49
761.56	1.49
764.86	0.00
768.17	0.74
771.47	0.00
774.77	0.00
778.08	2.06
781.38	1.40
784.68	1.12
787.99	0.00
791.29	0.62
794.59	0.00
797.90	0.00
801.20	0.88
804.50	3.33
807.81	1.31
811.11	1.67
814.41	3.96
817.72	1.87
821.02	0.00
824.32	0.00
827.63	1.93
830.93	0.00
834.23	1.46
837.54	2.74
840.84	1.18
844.14	1.64
847.45	0.81
850.75	0.00
854.05	0.00
857.36	0.00
860.66	0.00
863.96	0.77
867.27	0.00
870.57	0.00
873.87	0.79
877.18	0.89
880.48	2.85
883.78	0.66
887.09	0.64
890.39	0.00
893.69	1.42
897.00	0.42
900.30	1.28
903.60	0.00
906.91	3.38
910.21	0.09
913.51	0.43
916.82	1.74
920.12	1.79
923.42	3.87
926.73	4.77
930.03	5.20
933.33	5.10
936.64	9.84
939.94	8.62
943.24	11.13
946.55	13.55
949.85	12.90
953.15	15.09
956.46	18.72
959.76	19.03
963.06	20.35
966.37	23.96
969.67	29.43
972.97	26.39
976.28	31.71
979.58	33.78
