# Synthetic Quartz - Sample Raman Spectrum
# Wavenumber (cm-1)	Intensity (a.u.)
200.00	0.56
203.30	1.19
206.61	1.23
209.91	1.68
213.21	4.61
216.52	3.84
219.82	0.67
223.12	2.92
226.43	0.00
229.73	1.41
233.03	0.00
236.34	0.00
239.64	1.66
242.94	0.00
246.25	0.00
249.55	0.93
252.85	2.37
256.16	1.22
259.46	0.00
262.76	0.00
266.07	0.00
269.37	0.00
272.67	0.02
275.98	0.00
279.28	1.30
282.58	0.00
285.89	3.39
289.19	0.00
292.49	0.00
295.80	0.00
299.10	0.00
302.40	0.00
305.71	0.00
309.01	0.00
312.31	0.80
315.62	0.00
318.92	0.00
322.22	0.00
325.53	0.00
328.83	2.71
332.13	0.00
335.44	0.05
338.74	0.00
342.04	1.11
345.35	0.00
348.65	1.47
351.95	0.73
355.26	0.65
358.56	0.61
361.86	4.43
365.17	0.75
368.47	0.61
371.77	1.95
375.08	1.69
378.38	0.20
381.68	0.00
384.98	0.00
388.29	0.00
391.59	0.00
394.89	0.28
398.20	0.00
401.50	2.12
404.80	2.92
408.11	1.43
411.41	0.90
414.71	7.64
418.02	6.19
421.32	8.73
424.62	14.43
427.93	22.10
431.23	27.49
434.53	33.41
437.84	40.33
441.14	54.97
444.44	63.35
447.75	68.89
451.05	80.73
454.35	90.01
457.66	97.56
460.96	99.79
464.26	98.78
467.57	99.82
470.87	95.02
474.17	92.73
477.48	77.54
480.78	69.00
484.08	60.37
487.39	49.09
490.69	43.41
493.99	34.52
497.30	24.22
500.60	18.57
503.90	16.16
507.21	11.12
510.51	9.61
513.81	5.91
517.12	0.61
520.42	0.00
523.72	1.08
527.03	2.24
530.33	2.46
533.63	0.00
536.94	0.00
540.24	2.05
543.54	0.00
546.85	1.00
550.15	0.00
553.45	0.00
556.76	2.14
560.06	0.00
563.36	0.63
566.67	2.79
569.97	0.00
573.27	0.00
576.58	0.00
579.88	1.58
583.18	0.00
586.49	0.00
589.79	0.00
593.09	0.00
596.40	0.00
599.70	0.00
603.00	0.00
606.31	0.00
609.61	0.00
612.91	0.00
616.22	0.96
619.52	1.30
622.82	0.46
626.13	1.17
629.43	1.80
632.73	0.00
636.04	3.66
639.34	0.00
642.64	0.00
645.95	0.00
649.25	0.00
652.55	0.00
655.86	0.00
659.16	4.36
662.46	1.82
665.77	0.00
669.07	0.14
672.37	0.44
675.68	0.00
678.98	1.29
682.28	1.79
685.59	0.34
688.89	0.00
692.19	0.00
695.50	0.00
698.80	0.00
702.10	0.44
705.41	2.79
708.71	0.00
712.01	0.00
715.32	2.53
718.62	0.00
721.92	0.37
725.23	4.02
728.53	1.67
731.83	4.24
735.14	1.70
738.44	3.12
741.74	7.28
745.05	5.38
748.35	6.11
751.65	7.71
754.95	9.36
758.26	8.64
761.56	15.81
764.86	14.63
768.17	17.93
771.47	16.47
774.77	17.48
778.08	25.18
781.38	25.04
784.68	24.76
787.99	29.14
791.29	29.68
794.59	30.08
797.90	31.31
801.20	27.13
804.50	30.29
807.81	31.04
811.11	26.83
814.41	26.49
817.72	22.07
821.02	18.73
824.32	21.92
827.63	18.45
830.93	16.83
834.23	13.83
837.54	10.67
840.84	13.73
844.14	10.84
847.45	6.53
850.75	7.06
854.05	2.74
857.36	5.25
860.66	5.26
863.96	1.36
867.27	0.00
870.57	4.32
873.87	1.12
877.18	0.00
880.48	0.00
883.78	1.50
887.09	0.06
890.39	0.41
893.69	0.00
897.00	0.00
900.30	3.62
903.60	1.44
906.91	0.05
910.21	0.00
913.51	0.00
916.82	3.44
920.12	1.01
923.42	0.02
926.73	1.42
930.03	0.78
933.33	0.00
936.64	2.79
939.94	0.00
943.24	0.45
946.55	1.90
949.85	0.00
953.15	4.92
956.46	1.76
959.76	0.00
963.06	0.00
966.37	5.62
969.67	3.23
972.97	2.85
976.28	0.00
979.58	0.00
982.88	1.26
986.19	0.00
989.49	1.85
992.79	0.00
996.10	0.00
999.40	2.36
1002.70	0.00
1006.01	0.00
1009.31	0.00
1012.61	0.00
1015.92	0.00
1019.22	0.32
1022.52	0.00
1025.83	3.04
1029.13	0.00
1032.43	4.67
1035.74	0.00
1039.04	2.25
1042.34	0.82
1045.65	3.12
1048.95	4.95
1052.25	7.12
1055.56	11.72
1058.86	19.01
1062.16	27.99
1065.47	37.74
1068.77	43.68
1072.07	56.71
1075.38	64.62
1078.68	77.10
1081.98	77.30
1085.29	79.76
1088.59	80.04
1091.89	70.92
1095.20	63.24
1098.50	56.19
1101.80	41.69
1105.11	31.74
1108.41	26.86
1111.71	14.96
1115.02	10.71
1118.32	2.77
1121.62	5.94
1124.92	4.00
1128.23	0.52
1131.53	0.41
1134.83	0.00
1138.14	0.71
1141.44	1.40
1144.74	4.34
1148.05	0.00
1151.35	0.00
1154.65	1.17
1157.96	2.39
1161.26	0.00
1164.56	0.00
1167.87	0.00
1171.17	1.27
1174.47	3.11
1177.78	0.90
1181.08	0.00
1184.38	0.00
1187.69	0.00
1190.99	1.87
1194.29	3.54
1197.60	0.00
1200.90	0.00
1204.20	3.03
1207.51	0.00
1210.81	1.14
1214.11	0.00
1217.42	0.00
1220.72	0.00
1224.02	0.00
1227.33	0.00
1230.63	0.00
1233.93	0.00
1237.24	0.00
1240.54	0.10
1243.84	0.00
1247.15	2.07
1250.45	1.19
1253.75	0.00
1257.06	0.00
1260.36	0.00
1263.66	0.92
1266.97	0.00
1270.27	1.81
1273.57	0.92
1276.88	0.00
1280.18	2.29
1283.48	0.00
1286.79	0.00
1290.09	1.99
1293.39	0.00
1296.70	0.59
1300.00	0.55
1303.30	2.69
1306.61	0.46
1309.91	0.00
1313.21	4.65
1316.52	3.38
1319.82	0.00
1323.12	0.26
1326.43	0.00
1329.73	0.51
1333.03	0.00
1336.34	0.00
1339.64	0.00
1342.94	0.42
1346.25	0.00
1349.55	0.00
1352.85	0.23
1356.16	2.44
1359.46	2.36
1362.76	0.00
1366.07	0.00
1369.37	0.87
1372.67	0.22
1375.98	0.00
1379.28	0.00
1382.58	0.00
1385.89	0.00
1389.19	0.00
1392.49	0.00
1395.80	0.00
1399.10	0.00
1402.40	0.25
1405.71	0.00
1409.01	0.00
1412.31	2.55
1415.62	1.65
1418.92	0.04
1422.22	1.30
1425.53	0.00
1428.83	0.00
1432.13	0.50
1435.44	0.00
1438.74	5.29
1442.04	0.24
1445.35	0.00
1448.65	0.54
1451.95	0.00
1455.26	0.15
1458.56	0.00
1461.86	0.27
1465.17	1.03
1468.47	0.00
1471.77	0.00
1475.08	0.00
1478.38	0.00
1481.68	0.00
1484.98	2.38
1488.29	0.26
1491.59	0.00
1494.89	0.00
1498.20	0.49
1501.50	1.64
1504.80	1.43
1508.11	2.54
1511.41	0.00
1514.71	0.87
1518.02	0.76
1521.32	2.33
1524.62	0.29
1527.93	1.50
1531.23	2.26
1534.53	0.00
1537.84	0.00
1541.14	0.00
1544.44	2.02
1547.75	0.00
1551.05	0.10
1554.35	0.00
1557.66	0.00
1560.96	0.00
